Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8100558659217877,0.7857142857142857,0.7432432432432432,0.7638888888888888
Random Forest Classifier,0.8156424581005587,0.8253968253968254,0.7027027027027027,0.7591240875912408
